1,abandon,Verb,|abandoned|abandoned|abandoning|abandons|
2,accept,Verb,|accepted|accepted|accepting|accepts|
3,accomplish,Verb,|accomplished|accomplished|accomplishing|accomplishes|
4,accuse,Verb,|accused|accused|accusing|accuses|
5,acknowledge,Verb,|acknowledged|acknowledged|acknowledging|acknowledges|
6,act,Verb,|acted|acted|acting|acts|
7,add,Verb,|added|added|adding|adds|
8,admire,Verb,|admired|admired|admiring|admires|
9,admit,Verb,|admitted|admitted|admitting|admits|
10,advise,Verb,|advised|advised|advising|advises|
11,affect,Verb,|affected|affected|affecting|affects|
12,agree,Verb,|agreed|agreed|agreeing|agrees|
13,allow,Verb,|allowed|allowed|allowing|allows|
14,amaze,Verb,|amazed|amazed|amazing|amazes|
15,ambush,Verb,|ambushed|ambushed|ambushing|ambushes|
16,announce,Verb,|announced|announced|announcing|announces|
17,annoy,Verb,|annoyed|annoyed|annoying|annoys|
18,anoint,Verb,|anointed|anointed|anointing|anoints|
19,answer,Verb,|answered|answered|answering|answers|
20,appear,Verb,|appeared|appeared|appearing|appears|
21,appoint,Verb,|appointed|appointed|appointing|appoints|
22,approach,Verb,|approached|approached|approaching|approaches|
23,approve,Verb,|approved|approved|approving|approves|
24,argue,Verb,|argued|argued|arguing|argues|
25,arrest,Verb,|arrested|arrested|arresting|arrests|
26,arrive,Verb,|arrived|arrived|arriving|arrives|
27,ascend,Verb,|ascended|ascended|ascending|ascends|
28,ask,Verb,|asked|asked|asking|asks|
29,assist,Verb,|assisted|assisted|assisting|assists|
30,attach,Verb,|attached|attached|attaching|attaches|
31,attack,Verb,|attacked|attacked|attacking|attacks|
32,attend,Verb,|attended|attended|attending|attends|
33,attract,Verb,|attracted|attracted|attracting|attracts|
34,avoid,Verb,|avoided|avoided|avoiding|avoids|
35,bake,Verb,|baked|baked|baking|bakes|
36,baptize,Verb,|baptized|baptized|baptizing|baptizes|
37,bark,Verb,|barked|barked|barking|barks|
38,be,Verb,|was|been|being|is|
39,be born,Verb,|was|been|being|is|
40,be concerned,Verb,|bed|bed|bing|bes|
41,be determined,Verb,|was|been|being|is|
42,be fulfilled,Verb,|bed|bed|bing|bes|
43,be locked,Verb,|bed|bed|bing|bes|
44,be married,Verb,|was|been|being|is|
45,be tied,Verb,|was|been|being|is|
46,be worried,Verb,|was|been|being|is|
47,be hurt,Verb,|bed|bed|bing|bes|
48,beat,Verb,|beat|beaten|beating|beats|
49,become,Verb,|became|become|becoming|becomes|
50,beg,Verb,|begged|begged|begging|begs|
51,begin,Verb,|began|begun|beginning|begins|
52,behave,Verb,|behaved|behaved|behaving|behaves|
